symbol,period,datetime,open,high,low,close,volume,update_time
000001.XSHG,1day,2005-1-4 15:00:00,1260.78,1260.78,1238.19,1242.77,871329900,2005-1-4 15:00:00
000001.XSHG,1day,2005-1-5 15:00:00,1240.61,1258.53,1235.75,1251.94,915431500,2005-1-5 15:00:00
000001.XSHG,1day,2005-1-6 15:00:00,1252.73,1252.74,1234.32,1239.43,831752500,2005-1-6 15:00:00
000001.XSHG,1day,2005-1-7 15:00:00,1239.32,1255.95,1235.52,1244.75,932167100,2005-1-7 15:00:00
000001.XSHG,1day,2005-1-10 15:00:00,1243.58,1252.63,1236.22,1252.4,762210000,2005-1-10 15:00:00
000001.XSHG,1day,2005-1-11 15:00:00,1252.71,1260.83,1247.84,1257.46,807141900,2005-1-11 15:00:00
000001.XSHG,1day,2005-1-12 15:00:00,1257.17,1257.17,1246.42,1256.92,714122200,2005-1-12 15:00:00
000001.XSHG,1day,2005-1-13 15:00:00,1255.45,1259.49,1251.02,1256.31,920220800,2005-1-13 15:00:00
000001.XSHG,1day,2005-1-14 15:00:00,1256,1268.84,1243.87,1245.62,1038567300,2005-1-14 15:00:00
000001.XSHG,1day,2005-1-17 15:00:00,1235.57,1236.38,1214.1,1216.65,1053161800,2005-1-17 15:00:00
000001.XSHG,1day,2005-1-18 15:00:00,1216.86,1226.01,1207.05,1225.45,1061736800,2005-1-18 15:00:00
000001.XSHG,1day,2005-1-19 15:00:00,1224.65,1224.65,1214.68,1218.11,964191900,2005-1-19 15:00:00
000001.XSHG,1day,2005-1-20 15:00:00,1211.05,1213.93,1199.17,1204.39,1073077200,2005-1-20 15:00:00
000001.XSHG,1day,2005-1-21 15:00:00,1201.93,1237.77,1189.21,1234.48,1771208600,2005-1-21 15:00:00
000001.XSHG,1day,2005-1-24 15:00:00,1264.5,1265.82,1239.81,1255.78,1847391900,2005-1-24 15:00:00
000001.XSHG,1day,2005-1-25 15:00:00,1252.35,1254.6,1239.23,1254.23,1218406800,2005-1-25 15:00:00
