symbol,period,datetime,open,high,low,close,volume,update_time
300672.XSHG,1day,2017-07-12 15:00:00,6.33,7.59,6.33,7.59,15766,2017/7/12 15:00
300672.XSHG,1day,2017-07-13 15:00:00,8.35,8.35,8.35,8.35,5790,2017/7/13 15:00
300672.XSHG,1day,2017-07-14 15:00:00,9.18,9.18,9.18,9.18,4825,2017/7/14 15:00
300672.XSHG,1day,2017-07-17 15:00:00,10.1,10.1,10.1,10.1,74326,2017/7/17 15:00
300672.XSHG,1day,2017-07-18 15:00:00,11.11,11.11,11.11,11.11,55986,2017/7/18 15:00
300672.XSHG,1day,2017-07-19 15:00:00,12.22,12.22,12.22,12.22,45528,2017/7/19 15:00
300672.XSHG,1day,2017-07-20 15:00:00,13.45,13.45,13.45,13.45,120178,2017/7/20 15:00
300672.XSHG,1day,2017-07-21 15:00:00,14.79,14.79,14.79,14.79,272228,2017/7/21 15:00
300672.XSHG,1day,2017-07-24 15:00:00,16.27,16.27,15.29,15.73,28559922,2017/7/24 15:00
300672.XSHG,1day,2017-07-25 15:00:00,16.28,16.48,15.74,15.91,18878718,2017/7/25 15:00
300672.XSHG,1day,2017-07-26 15:00:00,15.41,16.89,15.34,16.78,18690786,2017/7/26 15:00
300672.XSHG,1day,2017-07-27 15:00:00,16.56,17.63,15.93,16.92,19101407,2017/7/27 15:00
300672.XSHG,1day,2017-07-28 15:00:00,16.53,17.76,16.44,16.53,14825162,2017/7/28 15:00
300672.XSHG,1day,2017-07-31 15:00:00,16.36,17,16.08,16.47,9909831,2017/7/31 15:00
300672.XSHG,1day,2017-08-01 15:00:00,16.49,16.64,15.6,16.03,10162272,2017/8/1 15:00
300672.XSHG,1day,2017-08-02 15:00:00,15.91,16.24,15.82,16.17,6677026,2017/8/2 15:00
300672.XSHG,1day,2017-08-03 15:00:00,16.1,17.79,16.08,17.43,15617756,2017/8/3 15:00
300672.XSHG,1day,2017-08-04 15:00:00,17.09,17.37,16.36,16.37,11371447,2017/8/4 15:00
300672.XSHG,1day,2017-08-07 15:00:00,16.35,16.64,15.7,15.77,7633094,2017/8/7 15:00
300672.XSHG,1day,2017-08-08 15:00:00,15.79,16.25,15.59,16.22,5208651,2017/8/8 15:00
300672.XSHG,1day,2017-08-09 15:00:00,16.25,17.03,16.16,16.39,5580492,2017/8/9 15:00
300672.XSHG,1day,2017-08-10 15:00:00,16.32,16.38,15.85,15.99,4195301,2017/8/10 15:00
300672.XSHG,1day,2017-08-11 15:00:00,16.03,16.89,16.03,16.46,6960205,2017/8/11 15:00
300672.XSHG,1day,2017-08-14 15:00:00,16.52,17.96,16.47,17.56,9020696,2017/8/14 15:00
300672.XSHG,1day,2017-08-15 15:00:00,17.42,18.34,17.38,17.9,8423909,2017/8/15 15:00
300672.XSHG,1day,2017-08-16 15:00:00,17.86,19.47,17.74,18.77,10367423,2017/8/16 15:00
300672.XSHG,1day,2017-08-17 15:00:00,18.65,19.87,18.53,19.35,8608787,2017/8/17 15:00
300672.XSHG,1day,2017-08-18 15:00:00,19.02,20.73,18.97,20.39,8519173,2017/8/18 15:00
300672.XSHG,1day,2017-08-21 15:00:00,21.13,22.42,20.6,22.42,8813458,2017/8/21 15:00
300672.XSHG,1day,2017-08-22 15:00:00,23.11,24.59,22.37,22.52,14312695,2017/8/22 15:00
300672.XSHG,1day,2017-08-23 15:00:00,22.28,23.31,21.8,22.42,11790752,2017/8/23 15:00
300672.XSHG,1day,2017-08-24 15:00:00,22,22.68,20.18,20.32,13828222,2017/8/24 15:00
300672.XSHG,1day,2017-08-25 15:00:00,20.25,21.73,19.98,21.03,10268951,2017/8/25 15:00
300672.XSHG,1day,2017-08-28 15:00:00,21.12,23.09,20.68,22.93,10899521,2017/8/28 15:00
300672.XSHG,1day,2017-08-29 15:00:00,22.39,23.8,22.03,22.03,13103215,2017/8/29 15:00
300672.XSHG,1day,2017-08-30 15:00:00,21.5,21.85,20.57,21.07,8640324,2017/8/30 15:00
300672.XSHG,1day,2017-08-31 15:00:00,21.22,22.62,21.1,22.5,7119177,2017/8/31 15:00
300672.XSHG,1day,2017-09-01 15:00:00,22.62,22.86,21.65,22.52,7349433,2017/9/1 15:00
300672.XSHG,1day,2017-09-04 15:00:00,22.28,24.16,22.18,22.47,8014109,2017/9/4 15:00
300672.XSHG,1day,2017-09-05 15:00:00,22.93,24.72,22.5,24.72,4870451,2017/9/5 15:00
300672.XSHG,1day,2017-09-06 15:00:00,27.19,27.19,26.92,27.19,6396741,2017/9/6 15:00
300672.XSHG,1day,2017-09-07 15:00:00,29.91,29.91,29.91,29.91,1396456,2017/9/7 15:00
300672.XSHG,1day,2017-09-08 15:00:00,30.45,32.46,30.27,31.86,18763034,2017/9/8 15:00
300672.XSHG,1day,2017-09-11 15:00:00,28.73,30.83,28.68,30.39,15774150,2017/9/11 15:00
300672.XSHG,1day,2017-09-12 15:00:00,29.4,33.06,29.37,32.33,17413235,2017/9/12 15:00
300672.XSHG,1day,2017-09-13 15:00:00,29.71,31.19,29.71,29.99,12651725,2017/9/13 15:00
300672.XSHG,1day,2017-09-14 15:00:00,30.44,31.86,30.17,30.19,11638214,2017/9/14 15:00
300672.XSHG,1day,2017-09-15 15:00:00,28.59,29.5,27.35,27.87,11108703,2017/9/15 15:00
300672.XSHG,1day,2017-09-18 15:00:00,28.51,30.65,28.39,30.65,6676706,2017/9/18 15:00
300672.XSHG,1day,2017-09-19 15:00:00,32.94,33.72,32.13,33.24,17317663,2017/9/19 15:00
300672.XSHG,1day,2017-09-25 15:00:00,35.25,36.56,35.25,36.56,14716073,2017/9/25 15:00
300672.XSHG,1day,2017-09-26 15:00:00,34.96,35.74,32.91,33.84,12327671,2017/9/26 15:00
300672.XSHG,1day,2017-09-27 15:00:00,34.5,37.23,34.5,37.23,11827113,2017/9/27 15:00
300672.XSHG,1day,2017-09-28 15:00:00,35.43,40.55,35.43,37.16,12750680,2017/9/28 15:00
300672.XSHG,1day,2017-09-29 15:00:00,37.16,39.27,35.15,37.46,9612332,2017/9/29 15:00
300672.XSHG,1day,2017-10-09 15:00:00,37.36,39.15,36.24,37.12,10557125,2017/10/9 15:00
300672.XSHG,1day,2017-10-10 15:00:00,36.36,40.12,36.36,38.91,10826794,2017/10/10 15:00
300672.XSHG,1day,2017-10-11 15:00:00,38.22,38.46,36.36,36.59,8857545,2017/10/11 15:00
300672.XSHG,1day,2017-10-12 15:00:00,36.05,37.32,34.2,35.39,6520470,2017/10/12 15:00
300672.XSHG,1day,2017-10-13 15:00:00,35.88,36.03,34.52,35.38,5049037,2017/10/13 15:00
300672.XSHG,1day,2017-10-16 15:00:00,35.11,36.16,33.87,34.77,5741882,2017/10/16 15:00
300672.XSHG,1day,2017-10-17 15:00:00,34.65,35.3,33.88,34.06,4597391,2017/10/17 15:00
300672.XSHG,1day,2017-10-18 15:00:00,33.97,36.13,33.93,34.52,6380492,2017/10/18 15:00
300672.XSHG,1day,2017-10-19 15:00:00,34.21,34.47,31.81,31.98,6893270,2017/10/19 15:00
300672.XSHG,1day,2017-10-20 15:00:00,32.01,32.8,31.82,32.48,3881701,2017/10/20 15:00
300672.XSHG,1day,2017-10-23 15:00:00,32.44,33.52,31.91,32.76,4086383,2017/10/23 15:00
300672.XSHG,1day,2017-10-24 15:00:00,32.63,32.82,31.09,31.79,4657566,2017/10/24 15:00
300672.XSHG,1day,2017-10-25 15:00:00,31.74,32.68,31.61,32.54,3883639,2017/10/25 15:00
300672.XSHG,1day,2017-10-26 15:00:00,32.41,35.56,32.41,34.43,7056113,2017/10/26 15:00
300672.XSHG,1day,2017-10-27 15:00:00,34.18,35,33.81,34.67,4586774,2017/10/27 15:00
300672.XSHG,1day,2017-10-30 15:00:00,34.89,37.86,34.8,35.7,9378861,2017/10/30 15:00
300672.XSHG,1day,2017-10-31 15:00:00,36.05,37.6,35.11,37.29,8485382,2017/10/31 15:00
300672.XSHG,1day,2017-11-01 15:00:00,37.1,41.02,37,41.02,6852248,2017/11/1 15:00
300672.XSHG,1day,2017-11-02 15:00:00,42.34,44.62,41.04,41.37,11806689,2017/11/2 15:00
300672.XSHG,1day,2017-11-03 15:00:00,41.36,44.14,40.71,43.74,11009418,2017/11/3 15:00
300672.XSHG,1day,2017-11-06 15:00:00,43.63,45.18,42.39,44.13,10289226,2017/11/6 15:00
300672.XSHG,1day,2017-11-07 15:00:00,44.31,44.31,42.48,43.49,7919337,2017/11/7 15:00
300672.XSHG,1day,2017-11-08 15:00:00,42.6,44.49,42.5,42.77,8769690,2017/11/8 15:00
300672.XSHG,1day,2017-11-09 15:00:00,42.1,44.43,41.29,44.12,9670086,2017/11/9 15:00
300672.XSHG,1day,2017-11-10 15:00:00,43.65,46.31,42.67,42.68,10119161,2017/11/10 15:00
300672.XSHG,1day,2017-11-13 15:00:00,42.97,46.18,42.45,45.25,9646112,2017/11/13 15:00
300672.XSHG,1day,2017-11-14 15:00:00,44.79,48.78,44,45.61,11496788,2017/11/14 15:00
300672.XSHG,1day,2017-11-15 15:00:00,44.75,45.25,41.04,41.29,10669923,2017/11/15 15:00
300672.XSHG,1day,2017-11-16 15:00:00,41.33,41.72,39.36,40.98,6750400,2017/11/16 15:00
300672.XSHG,1day,2017-11-17 15:00:00,40.54,42.76,39.81,40.57,7038566,2017/11/17 15:00
300672.XSHG,1day,2017-11-20 15:00:00,40.01,44.63,39.61,44.63,7993994,2017/11/20 15:00
300672.XSHG,1day,2017-11-21 15:00:00,44.13,45.28,42.58,45,8765028,2017/11/21 15:00
300672.XSHG,1day,2017-11-22 15:00:00,45.01,48.48,44.39,46.74,10048689,2017/11/22 15:00
300672.XSHG,1day,2017-11-23 15:00:00,45.7,48.48,45.12,46.43,8529307,2017/11/23 15:00
300672.XSHG,1day,2017-11-24 15:00:00,46.06,46.8,41.78,41.78,7882816,2017/11/24 15:00
